tile_id,avg_ndvi,avg_height,min_height,max_height,avg_species,avg_density,avg_biomass
6_44,0.9371127,0.5362426,0.0,2.632345,coniferous,sparse,107.24851861596107
6_45,0.073684454,0.0013917148,0.0,0.15560028,mixed,sparse,0.2783429590635933
7_0,0.71927255,6.767824,0.0,9.578155,deciduous,dense,6767.824292182922
7_1,0.89292765,7.072372,2.8040833,10.687788,deciduous,dense,7072.371989488602
7_2,0.89153516,6.2837,2.3650677,9.693478,deciduous,dense,6283.699721097946
7_3,0.89031935,6.364058,2.5908453,9.559232,deciduous,dense,6364.057958126068
7_4,0.8917708,8.258941,4.919834,11.182742,deciduous,dense,8258.941024541855
7_5,0.8908901,7.4744563,3.960325,9.707029,deciduous,dense,7474.4559824466705
7_6,0.8935246,5.105758,2.0442162,7.5818505,deciduous,dense,5105.758085846901
7_7,0.90113616,6.8098507,2.252997,9.853012,deciduous,dense,6809.850782155991
7_8,0.89772207,5.310316,1.3767749,10.019521,deciduous,dense,5310.316011309624
7_9,0.8916738,3.1150308,0.0010107037,8.129807,deciduous,dense,3115.030750632286
7_10,0.89884883,4.579351,0.89507663,8.486885,deciduous,dense,4579.351097345352
7_11,0.8999233,8.241218,1.4926482,12.335438,deciduous,dense,8241.217583417892
7_12,0.89581954,7.1460657,4.28674,11.9382925,deciduous,dense,7146.065682172775
7_13,0.8950408,8.58572,5.8394117,12.804006,deciduous,dense,8585.719764232635
7_14,0.8951674,10.276421,6.2008495,14.575233,deciduous,dense,10276.420414447784
7_15,0.89693445,8.90494,1.8496628e-05,12.995402,deciduous,dense,8904.939889907837
7_16,0.911457,2.5664856,0.0,8.749009,deciduous,dense,2566.4856657385826
7_17,0.90656424,2.793815,0.0,8.069973,mixed,dense,2793.8149869441986
7_18,0.90128225,2.9411213,0.36575544,5.832921,deciduous,dense,2941.1213472485542
7_19,0.9019587,3.4108524,0.39101988,5.447914,deciduous,dense,3410.852327942848
7_20,0.89783496,3.7897232,0.3548085,7.012724,deciduous,dense,3789.723291993141
7_21,0.89615214,3.8767219,0.0,10.987909,deciduous,dense,3876.721858978272
7_22,0.9011335,2.383444,0.0,9.76677,deciduous,dense,2383.444085717201
7_23,0.9068486,2.286596,0.0,6.3826933,mixed,dense,2286.5960374474525
7_24,0.9074528,5.5180693,1.6816407,11.469624,mixed,dense,5518.069118261337
7_25,0.9063887,5.1381264,2.9947488,11.453981,mixed,dense,5138.126388192177
7_26,0.91203654,3.1212153,1.6420168,5.099537,mixed,dense,3121.2152913212776
7_27,0.909109,3.9909933,0.81422687,6.162605,coniferous,dense,3990.9932762384415
7_28,0.9343433,4.010056,1.9522951,6.5888376,coniferous,urban,32.08044767379761
7_29,0.9342623,4.9364576,0.55730754,8.511016,coniferous,sparse,987.2915595769882
7_30,0.9249873,6.106436,0.553481,9.6297655,coniferous,dense,6106.435880064964
7_31,0.91561806,4.647909,2.9522839,8.345436,coniferous,dense,4647.909104824066
7_32,0.9148078,5.093147,3.4144068,7.361343,coniferous,dense,5093.146860599518
7_33,0.91451854,6.714957,3.220764,8.593508,coniferous,dense,6714.95720744133
7_34,0.9150447,7.3975697,2.4946125,9.612181,coniferous,dense,7397.569715976715
7_35,0.91041857,5.3494763,2.1782787,7.970763,coniferous,dense,5349.476262927055
7_36,0.9107039,3.712431,0.0,8.93121,coniferous,dense,3712.430968880653
7_37,0.9414777,1.4783112,0.0,5.9420056,coniferous,sparse,295.6622280180454
7_38,0.9465535,0.9437069,0.0,7.1950397,coniferous,sparse,188.74138593673703
7_39,0.93511164,3.2289076,0.0,12.327653,coniferous,urban,25.83126127719879
7_40,0.918699,4.0238156,0.0,10.611494,coniferous,dense,4023.8156914711
7_41,0.93189913,4.1263986,0.0,13.557693,coniferous,dense,4126.398637890816
7_42,0.936782,4.535913,0.0,8.574109,coniferous,urban,36.28730475902557
7_43,0.9406651,3.4359171,0.0018532078,12.245803,coniferous,urban,27.48733758926392
7_44,0.9348173,5.8275113,0.08531071,12.27105,coniferous,urban,46.620091795921326
7_45,0.08390634,0.0076510455,0.0,0.9404359,coniferous,sparse,1.5302091196645051
8_0,0.7106191,6.042677,0.0,10.00618,deciduous,dense,6042.676791548729
8_1,0.89314395,6.8254094,3.028299,10.238173,deciduous,dense,6825.409084558487
8_2,0.8909793,6.6076736,2.8780186,8.957349,deciduous,dense,6607.673317193985
8_3,0.8969999,6.51038,4.597965,8.76243,deciduous,dense,6510.379910469055
8_4,0.8942043,6.474939,5.013717,9.305278,deciduous,dense,6474.938988685608
8_5,0.8936506,6.309897,4.3554726,8.1158085,deciduous,dense,6309.89670753479
8_6,0.89968204,5.737684,1.999072,8.608003,deciduous,dense,5737.683922052383
8_7,0.9028081,4.9648967,2.2314653,8.054579,deciduous,dense,4964.896664023399
8_8,0.9014463,5.0185885,1.9920048,8.9337435,deciduous,dense,5018.588528037071
8_9,0.8977924,4.820489,0.6403225,8.81807,deciduous,dense,4820.488765835762
8_10,0.8984551,5.4716578,1.1829674,7.3507276,deciduous,dense,5471.6575890779495
8_11,0.90478915,3.9625528,1.6480737,7.1005435,deciduous,dense,3962.552919983864
8_12,0.89824265,6.449653,3.1108325,9.850441,deciduous,dense,6449.653208255768
8_13,0.89597404,9.780971,5.531423,14.234329,deciduous,dense,9780.970215797424
8_14,0.903925,6.5338373,0.0,14.715335,deciduous,dense,6533.83731842041
8_15,0.9104748,2.8036737,0.0,11.074648,deciduous,dense,2803.673781454563
8_16,0.90559983,3.3594975,0.0,7.3771214,deciduous,dense,3359.497711062432
8_17,0.90771085,3.24297,0.0,6.7576604,mixed,dense,3242.969885468483
8_18,0.89758855,5.695979,2.647781,8.622433,deciduous,dense,5695.979297161102
8_19,0.89225197,5.402721,2.818472,8.443845,deciduous,dense,5402.721092104912
8_20,0.89265686,8.264869,4.019883,12.749719,deciduous,dense,8264.868706464767
8_21,0.89140207,12.722839,3.8605332,15.271846,deciduous,dense,12722.839415073397
8_22,0.89461815,10.145977,3.4021997,13.961995,deciduous,dense,10145.97713947296
8_23,0.9057998,5.3332295,0.02498373,10.609928,deciduous,dense,5333.229526877403
8_24,0.90948826,6.0983915,0.0,12.43261,mixed,dense,6098.391488194466
8_25,0.90850765,7.456271,3.5837421,12.410354,mixed,dense,7456.2713503837585
8_26,0.9006692,5.831619,2.3981004,12.496189,mixed,dense,5831.61860704422
8_27,0.9001413,6.275836,1.7201079,11.167449,deciduous,dense,6275.835633277893
8_28,0.9163297,5.5494742,1.9685017,9.539118,mixed,dense,5549.474060535431
8_29,0.93774295,3.3149781,0.00021352276,6.3443255,coniferous,sparse,662.9956513643265
8_30,0.9164008,4.486722,0.25954142,8.484325,coniferous,dense,4486.722126603127
8_31,0.91321445,5.577365,2.843686,8.0875435,coniferous,dense,5577.364936470985
8_32,0.9157545,5.230761,2.7298,6.6324663,coniferous,dense,5230.76094686985
8_33,0.9148671,4.0450892,1.8391367,6.5602255,coniferous,dense,4045.089334249497
8_34,0.9145011,5.0495787,0.59909254,7.6552563,coniferous,dense,5049.578845500946
8_35,0.91729766,5.46927,1.4745556,7.339467,coniferous,dense,5469.270050525665
8_36,0.91294014,3.9563587,0.06966146,7.5953727,coniferous,dense,3956.358507275581
8_37,0.92367595,4.7813807,1.5542755,6.7068925,coniferous,dense,4781.380668282509
8_38,0.9268302,5.5140653,0.25519624,10.75197,coniferous,dense,5514.06517624855
8_39,0.9263172,7.55083,0.016939677,12.588784,coniferous,dense,7550.829648971558
8_40,0.9302995,4.558252,0.0,11.822594,coniferous,dense,4558.251798152924
8_41,0.9321196,5.5609345,0.0,14.139351,coniferous,dense,5560.934543609619
8_42,0.9458792,0.51854986,0.0,3.8481781,coniferous,urban,4.148398712277412
8_43,0.9484292,0.48305485,0.0,8.203972,coniferous,urban,3.864438831806183
8_44,0.94456494,3.6344788,0.0,8.930804,coniferous,urban,29.075831174850464
8_45,0.11106335,0.016811205,0.0,1.0877272,coniferous,dense,16.81120484136045
9_0,0.71814924,5.8339543,0.0,9.868988,deciduous,dense,5833.954364061356
9_1,0.8916889,6.625284,4.0106535,10.60159,deciduous,dense,6625.284254550934
9_2,0.89138895,7.2394342,2.9958463,11.121772,deciduous,dense,7239.434123039246
9_3,0.89420724,7.1308584,5.061731,10.081159,deciduous,dense,7130.858302116394
9_4,0.89521515,6.1153393,3.2564676,8.926718,deciduous,dense,6115.339323878288
9_5,0.895465,6.9048734,4.054339,9.382329,deciduous,dense,6904.873251914978
9_6,0.8992983,6.5424175,4.174492,8.637827,deciduous,dense,6542.417407035828
9_7,0.89756924,5.883172,1.7674187,9.313891,deciduous,dense,5883.172154426575
9_8,0.89722794,5.401572,1.9956489,9.097343,deciduous,dense,5401.572212576866
9_9,0.906417,7.9448576,3.9137921,11.240775,deciduous,dense,7944.857329130173
9_10,0.90112734,5.755833,2.562322,10.4571705,deciduous,dense,5755.83316385746
9_11,0.90546435,5.01855,2.595824,6.75213,deciduous,dense,5018.549785017967
9_12,0.9007613,8.222784,4.3760624,11.145848,deciduous,dense,8222.784101963043
9_13,0.90548897,8.013622,1.5583276,12.348606,deciduous,dense,8013.622462749481
9_14,0.90533924,3.5582278,0.0,6.4736876,deciduous,dense,3558.2277923822403
9_15,0.9022659,3.1198955,0.0,8.382203,deciduous,dense,3119.895420968533
9_16,0.89827013,3.906032,0.78088766,7.9152136,deciduous,dense,3906.03207051754
9_17,0.8959441,4.573629,1.2319833,7.3498015,deciduous,dense,4573.629051446915
9_18,0.8946701,6.897018,1.4203984,11.1500025,deciduous,dense,6897.018104791641
9_19,0.8966285,9.430956,6.020883,12.113153,deciduous,dense,9430.956095457075
9_20,0.895722,9.621777,6.858136,11.673137,deciduous,dense,9621.776640415192
9_21,0.8951257,10.119867,6.84202,13.917299,deciduous,dense,10119.867324829102
9_22,0.8946923,12.58855,9.108633,15.937917,deciduous,dense,12588.55015039444
9_23,0.89623964,8.162316,2.5012012,16.088423,deciduous,dense,8162.316679954529
9_24,0.90512794,4.113615,1.9866194,6.9640565,deciduous,dense,4113.614931702614
9_25,0.90951085,7.1475687,2.7534077,11.050852,mixed,dense,7147.568464279175
9_26,0.9097791,9.318853,4.111005,12.573847,mixed,dense,9318.853169679642
9_27,0.9013913,9.823884,5.357747,12.950402,deciduous,dense,9823.884069919586
9_28,0.90776336,9.837986,5.6735654,13.865115,mixed,dense,9837.985783815384
9_29,0.91760296,3.8152254,0.0,9.890583,coniferous,dense,3815.225511789322
9_30,0.9224242,2.5728683,0.0,6.0279026,coniferous,urban,20.58294713497162
9_31,0.91979563,4.049451,0.0027923544,7.72878,coniferous,dense,4049.450904130936
9_32,0.90063965,5.703234,1.4034362,8.381733,deciduous,dense,5703.234300017357
9_33,0.9027187,4.835427,1.4118426,7.751781,mixed,dense,4835.426807403564
9_34,0.90641826,3.161881,0.0,8.975204,mixed,dense,3161.8811190128326
9_35,0.9117008,3.3547242,0.0,8.702716,coniferous,dense,3354.7241240739822
9_36,0.92132473,2.4781194,0.018674854,7.3733883,coniferous,dense,2478.119358420372
9_37,0.9415374,0.8563331,0.0,4.522919,coniferous,urban,6.85066431760788
9_38,0.9449078,0.5466895,0.0,2.5059555,coniferous,sparse,109.33790355920792
9_39,0.9437092,0.2843888,0.0,1.9931283,coniferous,urban,2.2751104086637497
9_40,0.9447373,0.3618779,0.0,2.6101215,coniferous,urban,2.895023114979267
9_41,0.9424891,0.47853506,0.0,1.9977393,coniferous,urban,3.828280419111252
9_42,0.94891113,0.49725065,0.0,1.4513874,coniferous,urban,3.978005051612854
9_43,0.94817287,0.83519065,0.0,2.801465,coniferous,sparse,167.03812405467033
9_44,0.9479286,0.59646314,0.0,8.492944,coniferous,sparse,119.29262429475784
9_45,0.13215186,0.005625271,0.0,1.0367469,coniferous,dense,5.625270932796411
10_0,0.7295174,4.4631658,0.0,9.086025,deciduous,dense,4463.1656259298325
10_1,0.89016426,5.3422294,3.1774018,9.160703,deciduous,dense,5342.229455709457
10_2,0.89375967,6.7761483,4.9547453,8.623484,deciduous,dense,6776.148080825806
10_3,0.899504,4.998208,3.4392238,8.2321615,deciduous,dense,4998.208209872246
10_4,0.8965963,7.016367,3.421347,10.529707,deciduous,dense,7016.366720199585
10_5,0.89748347,5.816445,2.7515461,8.628119,deciduous,dense,5816.444754600525
10_6,0.89700097,6.2401295,4.012646,8.521577,deciduous,dense,6240.129470825195
10_7,0.89641464,8.430142,4.8513856,10.707335,deciduous,dense,8430.14270067215
10_8,0.89616746,7.7450094,5.4786425,10.645465,deciduous,dense,7745.009660720825
10_9,0.90445566,8.41696,5.9964104,11.472688,deciduous,dense,8416.959643363953
10_10,0.901822,6.9459953,3.181434,10.173811,deciduous,dense,6945.99524140358
10_11,0.90476155,4.087812,2.195424,5.5807767,deciduous,dense,4087.8120809793472
10_12,0.9052797,4.6077366,1.360058,9.09181,deciduous,dense,4607.736691832542
10_13,0.90861034,3.4071586,0.62803406,8.569135,deciduous,dense,3407.158702611923
10_14,0.9116053,2.6732109,0.65062493,5.5642543,mixed,dense,2673.210948705673
10_15,0.8987188,6.00747,2.5474079,10.102538,deciduous,dense,6007.470190525055
10_16,0.8935564,9.155833,2.726688,11.8844385,deciduous,dense,9155.832976102827
10_17,0.89290977,6.6868033,2.4630554,12.777254,deciduous,dense,6686.803698539734
10_18,0.8961073,6.410045,3.387135,11.47446,deciduous,dense,6410.045176744461
10_19,0.8994338,5.8854737,1.0983734,8.411015,deciduous,dense,5885.4736387729645
10_20,0.89718723,5.1310563,1.9457235,8.679544,deciduous,dense,5131.056159734726
10_21,0.8946377,6.35335,2.9426305,9.675955,deciduous,dense,6353.349983692169
10_22,0.90010285,7.9702115,5.3178215,13.155068,deciduous,dense,7970.211654901504
10_23,0.90126497,9.772919,5.0473433,13.608156,deciduous,dense,9772.918373346329
10_24,0.9060747,5.979503,0.6749051,10.439417,deciduous,dense,5979.503318667412
10_25,0.9150293,2.3709028,0.000136248,4.248995,coniferous,dense,2370.9027096629143
10_26,0.9097718,5.9064355,2.0852766,11.901894,mixed,dense,5906.43547475338
10_27,0.9093365,7.9045444,5.5047092,12.161123,mixed,dense,7904.544472694397
10_28,0.9086937,11.133356,7.465492,15.101993,mixed,dense,11133.356392383575
10_29,0.9036613,5.302029,0.0,10.462375,mixed,dense,5302.029103040695
10_30,0.9037131,4.429576,1.0293616,9.623257,mixed,dense,4429.575800895691
10_31,0.9031965,2.7486882,0.0,6.8599577,mixed,dense,2748.6883103847504
10_32,0.9059207,5.946811,0.95612,8.855518,deciduous,dense,5946.8112885952
10_33,0.90192664,6.668579,0.544164,13.627851,deciduous,dense,6668.578833341599
10_34,0.90384287,9.763171,1.8961402,15.841416,deciduous,dense,9763.171523809431
10_35,0.90473723,3.3678343,0.0,10.530194,mixed,dense,3367.8341656923294
10_36,0.9251173,2.7355387,0.0,6.6192126,coniferous,dense,2735.5387806892395
10_37,0.9375401,1.7244865,0.0,5.104907,coniferous,urban,13.795891404151917
10_38,0.9452611,1.4154042,0.0,3.1175416,coniferous,sparse,283.080842345953
10_39,0.9488784,0.31986162,0.0,1.8318471,coniferous,sparse,63.97232413291931
10_40,0.9252177,0.5132771,0.0,2.364916,coniferous,urban,4.106216877698898
10_41,0.935866,0.3781904,0.0,1.322309,coniferous,urban,3.0255232006311417
10_42,0.9481605,0.34787524,0.0,1.5130111,coniferous,urban,2.783001959323883
10_43,0.9466537,0.32487628,0.0,1.6438599,coniferous,sparse,64.97525610029697
10_44,0.9339998,0.7406029,0.0,3.6714144,coniferous,urban,5.924823135137558
10_45,0.10725145,0.0025843622,0.0,0.4462625,coniferous,urban,0.0206748969503678
11_0,0.7373995,6.221534,0.0,10.497196,deciduous,dense,6221.533939242363
11_1,0.89797,5.73612,3.6806977,10.021229,deciduous,dense,5736.120045185089
11_2,0.8972959,5.31231,1.8122253,8.378184,deciduous,dense,5312.31015920639
11_3,0.89927393,6.815236,2.8137426,10.836419,deciduous,dense,6815.236061811447
11_4,0.8978714,6.681633,3.0467713,10.440019,deciduous,dense,6681.632995605469
11_5,0.8975625,8.023582,4.3241954,10.534049,deciduous,dense,8023.582398891449
11_6,0.8968094,7.4713078,4.7000837,11.931727,deciduous,dense,7471.30811214447
11_7,0.89973503,9.046645,5.6151314,11.833874,deciduous,dense,9046.64546251297
11_8,0.89826506,9.123178,5.857923,10.876627,deciduous,dense,9123.177826404572
11_9,0.8985662,7.0233154,3.788861,10.383679,deciduous,dense,7023.315131664276
11_10,0.90235263,5.316861,2.0180738,8.3146,deciduous,dense,5316.860973834992
11_11,0.91211015,3.598816,0.0,8.288432,mixed,dense,3598.8159477710724
11_12,0.91137785,5.8859615,1.9551989,8.316793,mixed,dense,5885.961651802063
11_13,0.9044122,4.737333,3.0176322,7.9934793,deciduous,dense,4737.332835793495
11_14,0.89896643,4.766892,2.1738508,7.896855,deciduous,dense,4766.891896724701
11_15,0.8958466,5.7001634,2.9393454,10.066356,deciduous,dense,5700.163543224335
11_16,0.895687,7.1878877,3.0483255,11.752044,deciduous,dense,7187.888026237488
11_17,0.8985975,10.367154,5.3763556,14.053945,deciduous,dense,10367.154330015182
11_18,0.89568645,8.537667,3.257981,11.628462,deciduous,dense,8537.667244672775
11_19,0.89917785,5.027082,0.57814825,9.172842,deciduous,dense,5027.081817388535
11_20,0.8975683,4.5140777,0.39342973,9.045344,deciduous,dense,4514.077678322792
11_21,0.90103644,5.2020593,0.6342432,10.075044,deciduous,dense,5202.05944776535
11_22,0.9053046,5.9971023,3.253516,10.38476,deciduous,dense,5997.102335095406
11_23,0.90828615,5.891363,1.8556818,10.839339,deciduous,dense,5891.363322734833
11_24,0.90794104,4.757555,1.4642808,10.97219,mixed,dense,4757.554829120636
11_25,0.9168834,3.1923661,0.74697226,6.886568,coniferous,dense,3192.366287112236
11_26,0.9182914,5.1018367,2.4675364,10.495027,coniferous,dense,5101.83684527874
11_27,0.91086096,6.614652,2.1254482,11.19321,mixed,dense,6614.652276039124
11_28,0.9093062,6.5703845,2.6333377,11.560038,mixed,dense,6570.384651422501
11_29,0.9036073,8.761607,5.430317,11.397251,mixed,dense,8761.607110500336
11_30,0.90205675,9.905606,2.91958,15.30626,deciduous,dense,9905.606508255005
11_31,0.9046281,2.7877727,0.0,10.738724,deciduous,dense,2787.7725660800934
11_32,0.9044713,1.1390629,0.0,6.4560466,deciduous,dense,1139.0629224479198
11_33,0.9042383,9.060274,0.0,16.19099,deciduous,dense,9060.274064540865
11_34,0.9028692,16.76185,10.080538,23.49877,deciduous,dense,16761.84982061386
11_35,0.90341794,8.501108,6.477172,13.528686,deciduous,dense,8501.10799074173
11_36,0.9152291,5.2904515,1.9998094,10.179684,mixed,dense,5290.451645851135
11_37,0.92377806,4.666925,0.8628466,10.801286,mixed,dense,4666.924849152565
11_38,0.9450134,0.97470295,0.0,3.3480513,coniferous,urban,7.797623425722122
11_39,0.9448516,0.83987635,0.0,3.3203275,coniferous,urban,6.719011068344116
11_40,0.94392794,0.33596253,0.0,2.9650302,coniferous,sparse,67.19250697642565
11_41,0.930429,0.9369031,0.0,3.3892531,coniferous,dense,936.903152614832
11_42,0.91922176,0.758851,0.0,2.6807113,mixed,urban,6.070807948708534
11_43,0.94063133,0.5255113,0.0,4.3760796,coniferous,urban,4.2040906846523285
11_44,0.9349815,1.441006,0.0,5.043698,coniferous,urban,11.528047919273376
11_45,0.14409831,0.0018785065,0.0,0.20956224,coniferous,sparse,0.3757013109861873
12_0,0.73504996,6.1588674,0.0,10.231805,deciduous,dense,6158.8674783706665
12_1,0.8973833,5.4933753,2.3132443,9.659759,deciduous,dense,5493.375286459923
12_2,0.89515954,7.7472835,2.2880857,11.62854,deciduous,dense,7747.283577919006
12_3,0.8985753,6.687674,2.5029123,11.218345,deciduous,dense,6687.673926353455
12_4,0.8999084,8.078374,5.3842382,10.61799,deciduous,dense,8078.373968601227
12_5,0.8958205,7.282037,4.631927,10.277094,deciduous,dense,7282.036542892456
12_6,0.8966693,7.920632,5.0525002,11.883952,deciduous,dense,7920.631766319275
